id,original_title,title,director,cast,release_year,runtime,session,weekday,at_work,sessions_left,watched,imdb_id,imdb_lists,url
2728,Le notti di Cabiria,As Noites da Cabíria,Federico Fellini,"['Giulietta Masina', 'François Périer', 'Franca Marzi', 'Dorian Gray']",1957,01:58:00,2025-09-29 16:00:00+01:00,Monday,True,0,False,,[],https://medeiafilmes.com/filmes/as-noites-da-cabiria-1957
1697,Il conformista,O Conformista,Bernardo Bertolucci,"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin', 'Enzo Tarascio']",1970,01:53:00,2025-09-29 18:30:00+01:00,Monday,False,1,False,,[],https://medeiafilmes.com/filmes/o-conformista-1970
2775,One Battle After Another,Batalha Atrás de Batalha,Paul Thomas Anderson,"['Leonardo DiCaprio', 'Sean Penn', 'Benicio Del Toro', 'Regina Hall']",2025,02:44:00,2025-09-29 21:00:00+01:00,Monday,False,3,True,tt30144839,['To Watch'],https://medeiafilmes.com/filmes/batalha-atras-de-batalha-2025
2745,La Terra Trema,A Terra Treme,Luchino Visconti,"['Antonio Arcidiacono', 'Giuseppe Arcidiacono', 'Venera Bonaccorso']",1948,02:40:00,2025-09-30 13:00:00+01:00,Tuesday,True,0,False,tt0040866,"[""Martin Scorsese's List of 85 Films You Must See""]",https://medeiafilmes.com/filmes/a-terra-treme-1948
2792,Fellini – Satyricon,Fellini – Satyricon,Federico Fellini,"['Martin Potter', 'Hiram Keller', 'Max Born']",1969,02:09:00,2025-09-30 16:00:00+01:00,Tuesday,True,0,False,,[],https://medeiafilmes.com/filmes/fellini-satyricon-1969
2775,One Battle After Another,Batalha Atrás de Batalha,Paul Thomas Anderson,"['Leonardo DiCaprio', 'Sean Penn', 'Benicio Del Toro', 'Regina Hall']",2025,02:44:00,2025-09-30 18:30:00+01:00,Tuesday,False,2,True,tt30144839,['To Watch'],https://medeiafilmes.com/filmes/batalha-atras-de-batalha-2025
379,L’Innocente,O Intruso,Luchino Visconti,"['Giancarlo Giannini', 'Laura Antonelli', ""Jennifer O'Neill""]",1976,01:52:00,2025-09-30 21:30:00+01:00,Tuesday,False,1,False,,[],https://medeiafilmes.com/filmes/o-intruso-1976
2775,One Battle After Another,Batalha Atrás de Batalha,Paul Thomas Anderson,"['Leonardo DiCaprio', 'Sean Penn', 'Benicio Del Toro', 'Regina Hall']",2025,02:44:00,2025-10-01 12:00:00+01:00,Wednesday,True,1,True,tt30144839,['To Watch'],https://medeiafilmes.com/filmes/batalha-atras-de-batalha-2025
2785,Ljósbrot,No Romper da Luz,Rúnar Rúnarsson,"['Elín Hall', 'Katla Njálsdóttir', 'Mikael Kaaber']",2024,01:22:00,2025-10-01 15:00:00+01:00,Wednesday,True,0,False,,[],https://medeiafilmes.com/filmes/no-romper-da-luz-2024
2793,Speriamo che sia femmina,Oxalá Seja Menina!,Mario Monicelli,"['Liv Ullmann', 'Catherine Deneuve', 'Philippe Noiret', 'Stefania Sandrelli']",1986,02:00:00,2025-10-01 17:00:00+01:00,Wednesday,False,1,False,,[],https://medeiafilmes.com/filmes/oxala-seja-menina-1986
